pcode,year,month,rainfall_mm,rainfall_historic_avg_mm,rainfall_anomaly_pct,rice_price_usd_per_kg,flour_price_usd_per_kg,oil_price_usd_per_l,lentils_price_usd_per_kg,avg_food_price_usd_per_kg,debt_service_total_usd,debt_stock_pct_gni,debt_stock_total_usd,date
BD30,2010,5,284.83978,281.64775,1.1333412036844057,0.4109333333333334,0.3161333333333333,0.96,1.22,0.7267666666666667,1106277181.1,21.3233746649766,26571755072.0,2010-05-01
BD30,2010,6,393.67955900000004,335.33771,17.397938633266154,0.4483666666666667,0.31526666666666664,0.97,1.2349999999999999,0.31526666666666664,1106277181.1,21.3233746649766,26571755072.0,2010-06-01
BD30,2010,7,218.63536,383.96551,-43.05859398673594,0.4858,0.32,0.98,1.25,0.75895,1106277181.1,21.3233746649766,26571755072.0,2010-07-01
BD30,2010,8,277.372933,312.475324,-11.233652165122649,0.47026666666666667,0.34695,1.0350000000000001,1.21,0.675738888888889,1106277181.1,21.3233746649766,26571755072.0,2010-08-01
BD30,2010,9,261.17679,295.97136,-11.756059775513423,0.4693333333333333,0.4154,1.09,1.2633333333333334,0.6582444444444445,1106277181.1,21.3233746649766,26571755072.0,2010-09-01
BD30,2010,10,218.124312,175.530435,24.265807237360285,0.47,0.41,1.11,1.3166666666666667,0.6633333333333333,1106277181.1,21.3233746649766,26571755072.0,2010-10-01
BD30,2010,11,7.7776243,20.8823211,-62.75498177259615,0.48302500000000004,0.41,1.1600000000000001,1.37,0.7543416666666666,1106277181.1,21.3233746649766,26571755072.0,2010-11-01
BD30,2010,12,7.7859118,5.7807091,34.687832674368615,0.5095000000000001,0.4342,1.21,1.42,0.8934249999999999,1106277181.1,21.3233746649766,26571755072.0,2010-12-01
BD30,2011,1,5.7306629,8.2614182,-30.633424416161382,0.5190400000000001,0.4681666666666667,1.28,1.15,0.8543016666666666,1528366924.7,19.4870042621521,27046084648.2,2011-01-01
BD30,2011,2,7.7361879,17.3417128,-55.3897127162664,0.523825,0.485,1.37,1.15,0.88220625,1528366924.7,19.4870042621521,27046084648.2,2011-02-01
BD30,2011,3,55.009669,58.271454000000006,-5.597569266076667,0.5186,0.4462,1.34,1.1175,0.7682666666666668,1528366924.7,19.4870042621521,27046084648.2,2011-03-01
BD30,2011,4,106.852208,147.64738,-27.630136071496832,0.5148666666666667,0.41,1.33,1.085,0.46243333333333336,1528366924.7,19.4870042621521,27046084648.2,2011-04-01
BD30,2011,5,284.691985,281.64775,1.0808660818344953,0.436925,0.38533333333333336,1.32,1.0525,0.7140861111111111,1528366924.7,19.4870042621521,27046084648.2,2011-05-01
BD30,2011,6,406.169892,335.33771,21.12264141125076,0.4236,0.36475,1.35,1.02,0.7895875,1528366924.7,19.4870042621521,27046084648.2,2011-06-01
BD30,2011,7,250.395032,383.96551,-34.78710314371726,0.4568666666666667,0.31325000000000003,1.36,1.03,0.710038888888889,1528366924.7,19.4870042621521,27046084648.2,2011-07-01
